GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minecraft.plugin.arena,minecraft.arena,Arena,0,634,12,82,0,87,12,52,0,17
minecraft.plugin.arena,minecraft.arena,ArenaCreateCommand,0,72,0,4,0,18,0,4,0,2
minecraft.plugin.arena,minecraft.arena,ArenaJoinCommand,0,168,0,12,0,39,0,9,0,3
minecraft.plugin.arena,minecraft.arena,ResourceChest,0,235,1,15,0,43,1,12,0,5
minecraft.plugin.arena,minecraft.arena,MyPlugin.new BukkitRunnable() {...},5,6,0,0,1,1,1,1,1,1
minecraft.plugin.arena,minecraft.arena,Target,0,115,0,6,0,25,0,8,0,5
minecraft.plugin.arena,minecraft.arena,ArenaListener,47,6,6,0,12,3,4,1,1,1
minecraft.plugin.arena,minecraft.arena,MyPlugin,3,77,0,0,2,21,1,8,1,8
minecraft.plugin.arena,nl.sogyo.template,MyPlugin,40,0,0,0,12,0,4,0,4,0
minecraft.plugin.arena,nl.sogyo.template,MyPluginListener,49,0,2,0,13,0,4,0,3,0
minecraft.plugin.arena,nl.sogyo.template,MyCommandExecutor,32,0,2,0,11,0,4,0,3,0
